term,uri
accessRights,http://purl.org/dc/terms/accessRights
bibliographicCitation,http://purl.org/dc/terms/bibliographicCitation
language,http://purl.org/dc/terms/language
license,http://purl.org/dc/terms/license
modified,http://purl.org/dc/terms/modified
references,http://purl.org/dc/terms/references
rights,http://purl.org/dc/terms/rights
rightsHolder,http://purl.org/dc/terms/rightsHolder
type,http://purl.org/dc/terms/type
acceptedNameUsage,http://rs.tdwg.org/dwc/terms/acceptedNameUsage
acceptedNameUsageID,http://rs.tdwg.org/dwc/terms/acceptedNameUsageID
acceptedScientificName,http://rs.tdwg.org/dwc/terms/acceptedScientificName
acceptedScientificNameID,http://rs.tdwg.org/dwc/terms/acceptedScientificNameID
acceptedTaxonID,http://rs.tdwg.org/dwc/terms/acceptedTaxonID
acceptedTaxonName,http://rs.tdwg.org/dwc/terms/acceptedTaxonName
acceptedTaxonNameID,http://rs.tdwg.org/dwc/terms/acceptedTaxonNameID
accordingTo,http://rs.tdwg.org/dwc/terms/accordingTo
accuracy,http://rs.tdwg.org/dwc/terms/accuracy
associatedMedia,http://rs.tdwg.org/dwc/terms/associatedMedia
associatedOccurrences,http://rs.tdwg.org/dwc/terms/associatedOccurrences
associatedOrganisms,http://rs.tdwg.org/dwc/terms/associatedOrganisms
associatedReferences,http://rs.tdwg.org/dwc/terms/associatedReferences
associatedSequences,http://rs.tdwg.org/dwc/terms/associatedSequences
associatedTaxa,http://rs.tdwg.org/dwc/terms/associatedTaxa
basionym,http://rs.tdwg.org/dwc/terms/basionym
basionymID,http://rs.tdwg.org/dwc/terms/basionymID
basisOfRecord,http://rs.tdwg.org/dwc/terms/basisOfRecord
bed,http://rs.tdwg.org/dwc/terms/bed
behavior,http://rs.tdwg.org/dwc/terms/behavior
binomial,http://rs.tdwg.org/dwc/terms/binomial
catalogNumber,http://rs.tdwg.org/dwc/terms/catalogNumber
class,http://rs.tdwg.org/dwc/terms/class
collectionCode,http://rs.tdwg.org/dwc/terms/collectionCode
collectionID,http://rs.tdwg.org/dwc/terms/collectionID
continent,http://rs.tdwg.org/dwc/terms/continent
coordinatePrecision,http://rs.tdwg.org/dwc/terms/coordinatePrecision
coordinateUncertaintyInMeters,http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters
country,http://rs.tdwg.org/dwc/terms/country
countryCode,http://rs.tdwg.org/dwc/terms/countryCode
county,http://rs.tdwg.org/dwc/terms/county
dataGeneralizations,http://rs.tdwg.org/dwc/terms/dataGeneralizations
datasetID,http://rs.tdwg.org/dwc/terms/datasetID
datasetName,http://rs.tdwg.org/dwc/terms/datasetName
dateIdentified,http://rs.tdwg.org/dwc/terms/dateIdentified
day,http://rs.tdwg.org/dwc/terms/day
decimalLatitude,http://rs.tdwg.org/dwc/terms/decimalLatitude
decimalLongitude,http://rs.tdwg.org/dwc/terms/decimalLongitude
degreeOfEstablishment,http://rs.tdwg.org/dwc/terms/degreeOfEstablishment
disposition,http://rs.tdwg.org/dwc/terms/disposition
dynamicProperties,http://rs.tdwg.org/dwc/terms/dynamicProperties
earliestAgeOrLowestStage,http://rs.tdwg.org/dwc/terms/earliestAgeOrLowestStage
earliestEonOrLowestEonothem,http://rs.tdwg.org/dwc/terms/earliestEonOrLowestEonothem
earliestEpochOrLowestSeries,http://rs.tdwg.org/dwc/terms/earliestEpochOrLowestSeries
earliestEraOrLowestErathem,http://rs.tdwg.org/dwc/terms/earliestEraOrLowestErathem
earliestPeriodOrLowestSystem,http://rs.tdwg.org/dwc/terms/earliestPeriodOrLowestSystem
endDayOfYear,http://rs.tdwg.org/dwc/terms/endDayOfYear
establishmentMeans,http://rs.tdwg.org/dwc/terms/establishmentMeans
eventAttributes,http://rs.tdwg.org/dwc/terms/eventAttributes
eventDate,http://rs.tdwg.org/dwc/terms/eventDate
eventID,http://rs.tdwg.org/dwc/terms/eventID
eventMeasurementAccuracy,http://rs.tdwg.org/dwc/terms/eventMeasurementAccuracy
eventMeasurementDeterminedBy,http://rs.tdwg.org/dwc/terms/eventMeasurementDeterminedBy
eventMeasurementDeterminedDate,http://rs.tdwg.org/dwc/terms/eventMeasurementDeterminedDate
eventMeasurementID,http://rs.tdwg.org/dwc/terms/eventMeasurementID
eventMeasurementRemarks,http://rs.tdwg.org/dwc/terms/eventMeasurementRemarks
eventMeasurementType,http://rs.tdwg.org/dwc/terms/eventMeasurementType
eventMeasurementUnit,http://rs.tdwg.org/dwc/terms/eventMeasurementUnit
eventMeasurementValue,http://rs.tdwg.org/dwc/terms/eventMeasurementValue
eventRemarks,http://rs.tdwg.org/dwc/terms/eventRemarks
eventTime,http://rs.tdwg.org/dwc/terms/eventTime
family,http://rs.tdwg.org/dwc/terms/family
fieldNotes,http://rs.tdwg.org/dwc/terms/fieldNotes
fieldNumber,http://rs.tdwg.org/dwc/terms/fieldNumber
footprintSpatialFit,http://rs.tdwg.org/dwc/terms/footprintSpatialFit
footprintSRS,http://rs.tdwg.org/dwc/terms/footprintSRS
footprintWKT,http://rs.tdwg.org/dwc/terms/footprintWKT
formation,http://rs.tdwg.org/dwc/terms/formation
genus,http://rs.tdwg.org/dwc/terms/genus
geodeticDatum,http://rs.tdwg.org/dwc/terms/geodeticDatum
geologicalContextID,http://rs.tdwg.org/dwc/terms/geologicalContextID
georeferencedBy,http://rs.tdwg.org/dwc/terms/georeferencedBy
georeferencedDate,http://rs.tdwg.org/dwc/terms/georeferencedDate
georeferenceProtocol,http://rs.tdwg.org/dwc/terms/georeferenceProtocol
georeferenceRemarks,http://rs.tdwg.org/dwc/terms/georeferenceRemarks
georeferenceSources,http://rs.tdwg.org/dwc/terms/georeferenceSources
georeferenceVerificationStatus,http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus
group,http://rs.tdwg.org/dwc/terms/group
habitat,http://rs.tdwg.org/dwc/terms/habitat
higherClassification,http://rs.tdwg.org/dwc/terms/higherClassification
higherGeography,http://rs.tdwg.org/dwc/terms/higherGeography
higherGeographyID,http://rs.tdwg.org/dwc/terms/higherGeographyID
higherTaxonconceptID,http://rs.tdwg.org/dwc/terms/higherTaxonconceptID
higherTaxonName,http://rs.tdwg.org/dwc/terms/higherTaxonName
higherTaxonNameID,http://rs.tdwg.org/dwc/terms/higherTaxonNameID
highestBiostratigraphicZone,http://rs.tdwg.org/dwc/terms/highestBiostratigraphicZone
identificationAttributes,http://rs.tdwg.org/dwc/terms/identificationAttributes
identificationID,http://rs.tdwg.org/dwc/terms/identificationID
identificationQualifier,http://rs.tdwg.org/dwc/terms/identificationQualifier
identificationReferences,http://rs.tdwg.org/dwc/terms/identificationReferences
identificationRemarks,http://rs.tdwg.org/dwc/terms/identificationRemarks
identificationVerificationStatus,http://rs.tdwg.org/dwc/terms/identificationVerificationStatus
identifiedBy,http://rs.tdwg.org/dwc/terms/identifiedBy
identifiedByID,http://rs.tdwg.org/dwc/terms/identifiedByID
individualCount,http://rs.tdwg.org/dwc/terms/individualCount
individualID,http://rs.tdwg.org/dwc/terms/individualID
informationWithheld,http://rs.tdwg.org/dwc/terms/informationWithheld
infraspecificEpithet,http://rs.tdwg.org/dwc/terms/infraspecificEpithet
institutionCode,http://rs.tdwg.org/dwc/terms/institutionCode
institutionID,http://rs.tdwg.org/dwc/terms/institutionID
island,http://rs.tdwg.org/dwc/terms/island
islandGroup,http://rs.tdwg.org/dwc/terms/islandGroup
kingdom,http://rs.tdwg.org/dwc/terms/kingdom
